Time,Continent,Derived_Allele_Frequency,allele_counts
18,Africa,0.01575757575757576,825
18,America,0.299738219895288,1528
18,Central and South Asia,0.3839572192513369,935
18,Eastern Asia,0.8375350140056023,714
18,Europe,0.04287138584247258,1003
18,Oceania,0.13333333333333333,45
18,Western Asia,0.11842105263157894,76
17,Africa,0.0392156862745098,51
17,America,0.44660194174757284,103
17,Central and South Asia,0.35398230088495575,113
17,Eastern Asia,0.5546218487394958,119
17,Europe,0.08952187182095625,983
17,Oceania,0.3333333333333333,3
17,Western Asia,0.0,59
16,Africa,0.07142857142857142,28
16,America,0.2857142857142857,21
16,Central and South Asia,0.27155172413793105,232
16,Eastern Asia,0.4,175
16,Europe,0.0326975476839237,734
16,Oceania,0.0,3
16,Western Asia,0.07936507936507936,63
15,Africa,0.0,16
15,America,0.1,10
15,Central and South Asia,0.15168539325842698,178
15,Eastern Asia,0.5394736842105263,76
15,Europe,0.026281208935611037,761
15,Oceania,0.0,0
15,Western Asia,0.0,126
14,Africa,0.0,3
14,America,0.35714285714285715,14
14,Central and South Asia,0.20212765957446807,94
14,Eastern Asia,0.42857142857142855,42
14,Europe,0.02861952861952862,594
14,Oceania,0.0,0
14,Western Asia,0.09375,64
13,Africa,0.0,4
13,America,0.23076923076923078,13
13,Central and South Asia,0.3170731707317073,41
13,Eastern Asia,0.6666666666666666,9
13,Europe,0.057692307692307696,364
13,Oceania,0.0,0
13,Western Asia,0.06153846153846154,65
12,Africa,0.0,0
12,America,0.0,2
12,Central and South Asia,0.6,15
12,Eastern Asia,0.3333333333333333,3
12,Europe,0.05263157894736842,228
12,Oceania,0.0,0
12,Western Asia,0.0,8
11,Africa,0.0,7
11,America,1.0,2
11,Central and South Asia,0.7083333333333334,24
11,Eastern Asia,0.8333333333333334,12
11,Europe,0.027777777777777776,180
11,Oceania,0.0,0
11,Western Asia,0.0,15
10,Africa,0.0,0
10,America,0.5,2
10,Central and South Asia,0.5,4
10,Eastern Asia,1.0,2
10,Europe,0.12280701754385964,57
10,Oceania,0.0,0
10,Western Asia,0.0,52
9,Africa,0.0,0
9,America,0.5454545454545454,11
9,Central and South Asia,1.0,1
9,Eastern Asia,0.0,0
9,Europe,0.0,26
9,Oceania,0.0,0
9,Western Asia,0.0,7
8,Africa,0.0,3
8,America,0.5,8
8,Central and South Asia,0.0,0
8,Eastern Asia,1.0,1
8,Europe,0.0,27
8,Oceania,0.0,0
8,Western Asia,0.0,6
7,Africa,0.0,0
7,America,0.0,0
7,Central and South Asia,0.0,4
7,Eastern Asia,1.0,1
7,Europe,0.0,4
7,Oceania,0.0,0
7,Western Asia,0.0,0
6,Africa,0.0,0
6,America,0.0,0
6,Central and South Asia,0.0,1
6,Eastern Asia,0.0,0
6,Europe,0.0,0
6,Oceania,0.0,0
6,Western Asia,0.0,0
5,Africa,0.0,0
5,America,0.0,0
5,Central and South Asia,0.0,0
5,Eastern Asia,0.0,0
5,Europe,0.0,1
5,Oceania,0.0,0
5,Western Asia,0.0,0
4,Africa,0.0,0
4,America,0.0,2
4,Central and South Asia,0.0,2
4,Eastern Asia,1.0,2
4,Europe,0.0,8
4,Oceania,0.0,0
4,Western Asia,0.0,0
3,Africa,0.0,0
3,America,0.0,0
3,Central and South Asia,0.0,0
3,Eastern Asia,0.0,1
3,Europe,0.0,3
3,Oceania,0.0,0
3,Western Asia,0.0,0
2,Africa,0.0,0
2,America,0.0,0
2,Central and South Asia,1.0,1
2,Eastern Asia,0.0,0
2,Europe,0.2,5
2,Oceania,0.0,0
2,Western Asia,0.0,0
1,Africa,0.0,0
1,America,0.0,0
1,Central and South Asia,0.0,0
1,Eastern Asia,0.0,0
1,Europe,0.5,2
1,Oceania,0.0,0
1,Western Asia,0.0,0
